LoanAmount,City,State,Zip,NAICSCode,BusinessType,NonProfit,RaceEthnicity,Gender,Veteran,JobsReported,DateApproved,YearApproved,Lender,Lender 1,Lender_clean,Lender 2,CD
11908,HONOLULU,HI,96814,531390,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,MALE OWNED,Non-Veteran,1,04/28/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
8238.69,KAILUA KONA,HI,96740,621399,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,0,06/23/2020,2020,Celtic Bank Corporation,Celtic Bank Corporation,,,HI-02
14900,HONOLULU,HI,96817,531390,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,2,04/06/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
12700,HONOLULU,HI,96814,561520,CORPORATION,,ASIAN,MALE OWNED,Non-Veteran,3,04/04/2020,2020,Ohana Pacific Bank,Ohana Pacific Bank,,,HI-01
17600,KALAHEO,HI,96741,561599,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,05/06/2020,2020,MBE Capital Partners,MBE Capital Partners,,,HI-02
42002,KANEOHE,HI,96744,523930,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,4,05/05/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
25590,KAPOLEI,HI,96707,813110,NON-PROFIT ORGANIZATION,Y,UNANSWERED,UNANSWERED,Unanswered,3,05/02/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
16100,KIHEI,HI,96753,561720,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,1,04/29/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
15000,HONOLULU,HI,96816,621111,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,4,04/06/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
6400,KEAAU,HI,96749,236115,CORPORATION,,UNANSWERED,MALE OWNED,Non-Veteran,1,04/08/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
69890,KAPAA,HI,96746,236118,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,5,04/14/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
7900,MILILANI,HI,96789,812990,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,4,2020-05-18,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
20800,HONOLULU,HI,96815,541110,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,1,04/16/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
5936.27,KAHULUI,HI,96732,532490,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,04/14/2020,2020,HawaiiUSA FCU,HawaiiUSA FCU,,,HI-02
7800,KAILUA KONA,HI,96740,423920,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,06/17/2020,2020,BancFirst,BancFirst,,,HI-02
8400,WAIPAHU,HI,96797,561720,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,2,04/09/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
8750,HONOLULU,HI,96818,423940,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,1,05/08/2020,2020,Celtic Bank Corporation,Celtic Bank Corporation,,,HI-01
17800,EWA BEACH,HI,96706,531320,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,0,05/13/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
10400,HAIKU,HI,96708,711510,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,6,2020-04-30,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
2725,HONOLULU,HI,96825,541990,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,04/28/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
125100,HONOLULU,HI,96819,493110,CORPORATION,,WHITE,MALE OWNED,Veteran,18,04/15/2020,2020,Hawaii National Bank.,Hawaii National Bank,,,HI-01
20800,HONOLULU,HI,96822,561990,LIMITED LIABILITY COMPANY(LLC),,ASIAN,FEMALE OWNED,Non-Veteran,1,2020-04-30,2020,Hawaii National Bank.,Hawaii National Bank,,,HI-01
98000,HILO,HI,96720,524210,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,10,04/07/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
25105,HALEIWA,HI,96712,541219,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,1,04/07/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
9027,HONOLULU,HI,96816,541921,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,1,2020-05-18,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
86935,HONOLULU,HI,96813,722410,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,,04/13/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
14300,HONOLULU,HI,96817,531390,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,04/29/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
15675,HONOLULU,HI,96814,923110,NON-PROFIT ORGANIZATION,Y,UNANSWERED,UNANSWERED,Unanswered,,04/28/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
3802.5,WAIKOLOA,HI,96738,236220,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,1,05/06/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
63700,HONOLULU,HI,96817,424990,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,5,05/02/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
14851,HONOLULU,HI,96821,812990,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,05/06/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
19865,HONOLULU,HI,96817,444190,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,,06/04/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
15240,ELEELE,HI,96705,487210,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,,04/08/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
2000,KURTISTOWN,HI,96760,541511,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,,04/28/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
68655,KAILUA KONA,HI,96740,236220,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,0,05/07/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
78100,HONOLULU,HI,96839,423430,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,5,04/09/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
47250,HILO,HI,96720,541219,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,,07/27/2020,2020,"FC MARKETPLACE, LLC (DBA FUNDING CIRCLE)",FC MARKETPLACE,"FC MARKETPLACE, LLC (DBA FUNDING CIRCLE)",LLC (DBA FUNDING CIRCLE),HI-02
6357,HONOLULU,HI,96816,531210,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,07/27/2020,2020,HawaiiUSA FCU,HawaiiUSA FCU,,,HI-01
14900,KAPAA,HI,96746,621340,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,4,04/06/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
61235,HILO,HI,96721,484110,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,8,2020-04-30,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
62900,WAIPAHU,HI,96797,621320,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,5,04/10/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
8000,HONOLULU,HI,96814,813110,PROFESSIONAL ASSOCIATION,,UNANSWERED,UNANSWERED,Unanswered,1,04/06/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
31225,KUNIA,HI,96759,813910,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,4,04/28/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
72100,HILO,HI,96720,541211,PARTNERSHIP,,UNANSWERED,UNANSWERED,Unanswered,4,06/25/2020,2020,Hawaii National Bank.,Hawaii National Bank,,,HI-02
25800,LIHUE,HI,96766,813110,NON-PROFIT ORGANIZATION,Y,UNANSWERED,UNANSWERED,Unanswered,4,04/29/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
5900,HONOLULU,HI,96816,711510,CORPORATION,,WHITE,MALE OWNED,Unanswered,2,04/09/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
26200,AIEA,HI,96701,621111,SELF-EMPLOYED INDIVIDUALS,,UNANSWERED,UNANSWERED,Unanswered,2,04/07/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
3750,KULA,HI,96790,115112,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,2,04/12/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
21000,WAHIAWA,HI,96786,621210,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,5,04/09/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
60757.5,HONOLULU,HI,96819,541940,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,5,05/01/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
73100,HONOLULU,HI,96817,541613,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,MALE OWNED,Non-Veteran,3,04/09/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
69100,WAIANAE,HI,96792,621210,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,5,04/09/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
10600,HONOLULU,HI,96814,448150,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,6,04/14/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
109400,MOUNTAIN VIEW,HI,96771,111422,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,21,04/07/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
2500,HONOLULU,HI,96816,812199,LIMITED LIABILITY COMPANY(LLC),,BLACK OR AFRICAN AMERICAN,FEMALE OWNED,Unanswered,1,04/12/2020,2020,HawaiiUSA FCU,HawaiiUSA FCU,,,HI-01
2500,HONOLULU,HI,96821,238350,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,1,04/29/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
7250,HILO,HI,96720,531210,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,FEMALE OWNED,Non-Veteran,0,05/01/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
6250,HONOLULU,HI,96819,485320,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,0,05/09/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
275,WAIANAE,HI,96792,531210,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,0,04/28/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
34400,HONOLULU,HI,96826,722515,LIMITED LIABILITY COMPANY(LLC),,ASIAN,FEMALE OWNED,Non-Veteran,12,05/05/2020,2020,Hawaii National Bank.,Hawaii National Bank,,,HI-01
20800,HONOLULU,HI,96819,541110,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,4,04/10/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
20800,KAILUA KONA,HI,96740,531210,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,04/12/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
20832,WAILUKU,HI,96793,531210,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,05/05/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
15000,HONOLULU,HI,96822,522130,SOLE PROPRIETORSHIP,,UNANSWERED,MALE OWNED,Non-Veteran,1,04/28/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
98582,HONOLULU,HI,96819,484110,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,6,04/28/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
29553.7,KAILUA KONA,HI,96740,621210,SUBCHAPTER S CORPORATION,,UNANSWERED,MALE OWNED,Unanswered,6,06/15/2020,2020,"TIAA Bank, A Division of",TIAA Bank,"TIAA BANK, A DIVISION OF",A DIVISION OF,HI-02
99300,HONOLULU,HI,96825,722511,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,MALE OWNED,Unanswered,20,04/06/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
44700,HONOLULU,HI,96816,515112,SOLE PROPRIETORSHIP,,UNANSWERED,MALE OWNED,Non-Veteran,4,04/13/2020,2020,"Readycap Lending, LLC",Readycap Lending,"READYCAP LENDING, LLC",LLC,HI-01
12100,HONOLULU,HI,96816,531210,SELF-EMPLOYED INDIVIDUALS,,UNANSWERED,UNANSWERED,Unanswered,0,06/02/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
6019,KAILUA KONA,HI,96745,561720,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,1,05/11/2020,2020,"Kabbage, Inc.",Kabbage,"KABBAGE, INC.",INC.,HI-02
6422,WAIANAE,HI,96792,236115,CORPORATION,,UNANSWERED,MALE OWNED,Non-Veteran,0,2020-04-30,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
19400,HONOLULU,HI,96821,531210,SOLE PROPRIETORSHIP,,ASIAN,FEMALE OWNED,Non-Veteran,1,2020-06-29,2020,Ohana Pacific Bank,Ohana Pacific Bank,,,HI-01
5000,AIEA,HI,96701,722511,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,1,04/10/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
1500,HONOLULU,HI,96822,531210,CORPORATION,,WHITE,MALE OWNED,Non-Veteran,1,04/10/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
7700,HONOLULU,HI,96816,485310,INDEPENDENT CONTRACTORS,,UNANSWERED,UNANSWERED,Unanswered,1,04/29/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
12500,HONOLULU,HI,96817,524210,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,1,04/10/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
2500,HONOLULU,HI,96815,541310,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,0,2020-04-30,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
18209,KAILUA KONA,HI,96740,621111,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,05/28/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
8425,PRINCEVILLE,HI,96722,621330,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,,05/06/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
69200,HONOLULU,HI,96822,236115,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,4,04/15/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
19700,PAHOA,HI,96778,722513,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,0,05/02/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
29745,MAKAWAO,HI,96768,611519,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,3,04/27/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
13200,HONOLULU,HI,96814,812112,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,0,05/13/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
6700,KAHULUI,HI,96732,561720,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,MALE OWNED,Unanswered,1,05/03/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
33800,KAILUA KONA,HI,96734,238210,SOLE PROPRIETORSHIP,,WHITE,MALE OWNED,Non-Veteran,6,04/10/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
16413,HONOLULU,HI,96819,453998,CORPORATION,,ASIAN,MALE OWNED,Veteran,,04/16/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
10070,HONOLULU,HI,96815,424330,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,2,05/07/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
103000,HONOLULU,HI,96817,621511,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,6,05/02/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
3300,AIEA,HI,96701,541519,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,0,05/14/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
3700,KANEOHE,HI,96744,812112,SOLE PROPRIETORSHIP,,ASIAN,FEMALE OWNED,Unanswered,1,04/29/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
5500,HALEIWA,HI,96712,238990,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,0,2020-04-30,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
5000,LIHUE,HI,96766,812112,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,05/01/2020,2020,Gather FCU,Gather FCU,,,HI-02
5700,HALEIWA,HI,96712,238140,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,1,04/11/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
30400,HAIKU,HI,96708,238160,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,8,04/06/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
1600,WAILUKU,HI,96793,722310,SOLE PROPRIETORSHIP,,UNANSWERED,MALE OWNED,Non-Veteran,1,06/16/2020,2020,Customers Bank,Customers Bank,,,HI-02
3888,KAILUA KONA,HI,96740,453998,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,0,06/23/2020,2020,Cross River Bank,Cross River Bank,,,HI-02
20833,WAILUKU,HI,96793,711510,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,0,05/14/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
19707,HONOLULU,HI,96825,812930,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,4,2020-04-30,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
30370,AIEA,HI,96701,722513,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,FEMALE OWNED,Non-Veteran,,04/13/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
66300,AIEA,HI,96701,541330,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,,04/14/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
1000,HAIKU,HI,96708,621399,SELF-EMPLOYED INDIVIDUALS,,UNANSWERED,UNANSWERED,Unanswered,0,04/29/2020,2020,Celtic Bank Corporation,Celtic Bank Corporation,,,HI-02
10100,WAIPAHU,HI,96797,541211,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,FEMALE OWNED,Unanswered,0,05/02/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
85000,HONOLULU,HI,96814,451110,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,,04/16/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
35200,WAILUKU,HI,96793,423440,LIMITED LIABILITY COMPANY(LLC),,ASIAN,MALE OWNED,Unanswered,3,04/05/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
4078,HONOLULU,HI,96822,812111,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,0,05/09/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
12500,HONOLULU,HI,96825,236118,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,,04/15/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
17232,WAILUKU,HI,96793,236118,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,4,04/27/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
9506,PEPEEKEO,HI,96783,541213,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,2,05/09/2020,2020,"Kabbage, Inc.",Kabbage,"KABBAGE, INC.",INC.,HI-02
53600,HONOLULU,HI,96816,722513,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,4,04/28/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
20833,HONOLULU,HI,96816,531311,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,3,05/21/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
15000,LIHUE,HI,96766,562998,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,04/10/2020,2020,Gather FCU,Gather FCU,,,HI-02
32785,KAPAA,HI,96746,713940,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,MALE OWNED,Non-Veteran,,04/14/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
4535,HAWI,HI,96719,722513,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,3,05/10/2020,2020,Hawaii Community FCU,Hawaii Community FCU,,,HI-02
85500,HONOLULU,HI,96826,722513,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,12,04/06/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
41485,HAIKU,HI,96708,314120,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,2,04/27/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
24375,EWA BEACH,HI,96706,524210,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,4,2020-04-30,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
20800,PUKALANI,HI,96788,722310,SELF-EMPLOYED INDIVIDUALS,,UNANSWERED,UNANSWERED,Non-Veteran,1,05/20/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
5900,HONOLULU,HI,96817,561510,CORPORATION,,ASIAN,MALE OWNED,Non-Veteran,3,2020-04-30,2020,Hawaii National Bank.,Hawaii National Bank,,,HI-01
26247.5,KULA,HI,96790,541410,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,3,05/01/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
39200,HONOLULU,HI,96816,621210,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,4,04/07/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
2500,HONOLULU,HI,96816,541921,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,0,06/10/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
4800,HONOLULU,HI,96821,541219,SELF-EMPLOYED INDIVIDUALS,,UNANSWERED,UNANSWERED,Unanswered,0,05/06/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
19220,KAILUA KONA,HI,96734,611430,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,2,2020-04-30,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
1000,HONOLULU,HI,96816,445299,INDEPENDENT CONTRACTORS,,UNANSWERED,UNANSWERED,Unanswered,0,06/27/2020,2020,Celtic Bank Corporation,Celtic Bank Corporation,,,HI-01
31600,HONOLULU,HI,96815,451130,SOLE PROPRIETORSHIP,,ASIAN,MALE OWNED,Unanswered,2,04/29/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
7142,HONOLULU,HI,96817,448150,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,06/05/2020,2020,WebBank,WebBank,,,HI-01
44400,HONOLULU,HI,96848,813410,NON-PROFIT ORGANIZATION,Y,UNANSWERED,UNANSWERED,Unanswered,1,05/06/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
2140,WAIPAHU,HI,96797,711310,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,05/03/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
12000,HAWI,HI,96719,453220,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,4,04/10/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
16300,WAIANAE,HI,96792,445110,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,5,04/07/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
21400,HONOLULU,HI,96817,236115,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,0,05/03/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
77400,HONOLULU,HI,96817,561520,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,9,04/07/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
